,@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name,escalated_predicted,escalated_values_predicted,escalated_binary_predicted
0,escalated,info,,Unnecessary semicolon.,,JSHint,JH--W032,Unnecessary semicolon,escalated,0.62473357,1
1,escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo),,JSHint,JH--W083,Don't make functions within a loop,escalated,0.5772657,1
2,escalated,info,,Unnecessary semicolon.,,JSHint,JH--W032,Unnecessary semicolon,escalated,0.62473357,1
3,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo, console, modulesInfo)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.6560554,1
4,escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (spacesPerIndentLevel),,JSHint,JH--W083,Don't make functions within a loop,escalated,0.59910053,1
5,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpec, stringifyEnum)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.59910053,1
6,false-positive,info,,'async functions' is only available in ES8 (use 'esversion: 8').,,JSHint,JH--W119,Use of ES6 extension,escalated,0.67423046,1
7,escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo),,JSHint,JH--W083,Don't make functions within a loop,escalated,0.5772657,1
8,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (identsArr, idents)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.59910053,1
9,false-positive,info,,'async functions' is only available in ES8 (use 'esversion: 8').,,JSHint,JH--W119,Use of ES6 extension,escalated,0.67423046,1
10,false-positive,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.6854048,1
11,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpecMember, spacesPerIndentLevel, stringifyEnum)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.59910053,1
12,escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpecMember, spacesPerIndentLevel)",,JSHint,JH--W083,Don't make functions within a loop,escalated,0.59910053,1
13,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
14,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
15,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
16,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
17,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
18,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
19,false-positive,info,,"Import ""from utilities import *"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
20,false-positive,info,,"Import ""import json"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
21,false-positive,info,,"Import ""from SimpleWebSocketServer import SimpleWebSocketServer, WebSocket"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
22,escalated,info,398.0,Unused import os,,Pylint,PYLINT-W0611,Unused import,escalated,0.59581035,1
23,false-positive,info,,"Import ""import traceback"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
24,false-positive,info,,"Import ""import os"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5891492,1
25,escalated,info,398.0,Unused import base64,,Pylint,PYLINT-W0611,Unused import,escalated,0.59581035,1
26,false-positive,info,,"Import ""import base64"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
27,false-positive,info,,"Import ""import time"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
28,false-positive,info,,"Import ""import uuid"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
29,escalated,info,398.0,Unused import time,,Pylint,PYLINT-W0611,Unused import,escalated,0.59581035,1
30,false-positive,info,,"Import ""from whatsapp import WhatsAppWebClient"" should be placed at the top of the module",,Pylint,PYLINT-C0413,Wrong Import Position,escalated,0.5498446,1
31,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
32,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
33,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
34,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,escalated,0.7705772,1
35,escalated,info,,"standard import ""import json"" should be placed before ""from google.protobuf import json_format""",,Pylint,PYLINT-C0411,Wrong Import Order,escalated,0.59581035,1
