output,@Name,target->defect->@Severity,target->defect->@Confidence,target->defect->@Location,target->defect->#text
,ArrayFieldsShouldNotBeReadOnlyRule,Medium,Total,System.Char[] Microsoft.Alm.Authentication.BaseSecureStore::IllegalCharacters,
,AvoidAssemblyVersionMismatchRule,Medium,High,"Microsoft.IdentityModel.Clients.ActiveDirectory, Version=3.19.4.11002, Culture=neutral, PublicKeyToken=31bf3856ad364e35",Assembly version is '3.19.4.11002' while file version is '3.19.50420.1321'.
,AvoidCodeDuplicatedInSameClassRule,,,,
,AvoidCodeDuplicatedInSiblingClassesRule,,,,
,AvoidDeclaringCustomDelegatesRule,,,,
,AvoidDeepNamespaceHierarchyRule,,,,
,AvoidLackOfCohesionOfMethodsRule,,,,
,AvoidLongParameterListsRule,,,,
,AvoidNonAlphanumericIdentifierRule,Medium,High,System.Collections.Generic.IReadOnlyList`1<System.String> Microsoft.Alm.Authentication.TokenScope::_scopes,
,AvoidRedundancyInMethodNameRule,,,,
,AvoidRedundancyInTypeNameRule,,,,
,AvoidRefAndOutParametersRule,,,,
,AvoidRepetitiveCastsRule,Medium,Normal,System.Void Microsoft.IdentityModel.Clients.ActiveDirectory.Internal.WindowsFormsWebAuthenticationDialogBase::.ctor(System.Object),'ownerWindow' is casted 2 times for type 'System.Windows.Forms.IWin32Window'.
,AvoidReturningArraysOnPropertiesRule,,,,
,AvoidSpeculativeGeneralityRule,,,,
,AvoidUnnecessarySpecializationRule,,,,
,AvoidUnneededFieldInitializationRule,,,,
,AvoidUnusedParametersRule,,,,
,AvoidVisibleConstantFieldRule,,,,
,AvoidVisibleFieldsRule,,,,
,AvoidVisibleNestedTypesRule,,,,
,CheckNewExceptionWithoutThrowingRule,,,,
,CheckParametersNullityInVisibleMethodsRule,,,,
,ComVisibleTypesShouldBeCreatableRule,Medium,Total,Microsoft.IdentityModel.Clients.ActiveDirectory.Internal.WindowsFormsWebAuthenticationDialog,
,ConsiderUsingStaticTypeRule,,,,
,DoNotExposeNestedGenericSignaturesRule,High,Total,property,
,DoNotForgetNotImplementedMethodsRule,High,Normal,"System.Object GitHub.Shared.Converters.ThicknessConverter::ConvertBack(System.Object,System.Type,System.Object,System.Globalization.CultureInfo)",
,DoNotHardcodePathsRule,,,,
,DoNotSwallowErrorsCatchingNonSpecificExceptionsRule,,,,
,EnsureLocalDisposalRule,,,,
,FlagsShouldNotDefineAZeroValueRule,,,,
,ImplementEqualsTypeRule,,,,
,InstantiateArgumentExceptionCorrectlyRule,,,,
,InternalNamespacesShouldNotExposeTypesRule,,,,
,MarkAssemblyWithCLSCompliantRule,,,,
,MissingExceptionConstructorsRule,,,,
,MissingSerializableAttributeOnISerializableTypeRule,Critical,Total,Microsoft.IdentityModel.Clients.ActiveDirectory.AdalException,
,MissingSerializationConstructorRule,,,,
,NonConstantStaticFieldsShouldNotBeVisibleRule,Medium,High,System.Boolean Microsoft.IdentityModel.Clients.ActiveDirectory.LoggerCallbackHandler::UseDefaultLogging,
,ParameterNamesShouldMatchOverriddenMethodRule,Medium,High,System.Void Microsoft.IdentityModel.Clients.ActiveDirectory.Internal.WindowsFormsWebAuthenticationDialog::OnNavigationCanceled(System.Int32),The name of parameter #1 (inputStatusCode) does not match the name of the parameter in the overriden method (statusCode).
,PreferEmptyInstanceOverNullRule,,,,
,PreferEventsOverMethodsRule,Medium,Normal,System.Void GitHub.Shared.ViewModels.ViewModel::RaisePropertyChangedEvent(System.String),
,PreferTryParseRule,Medium,Normal,System.Void Microsoft.IdentityModel.Clients.ActiveDirectory.TokenCache::Deserialize(System.Byte[]),
,PreferUriOverStringRule,,,,
,ProvideAlternativeNamesForOperatorOverloadsRule,,,,
,RemoveDependenceOnObsoleteCodeRule,High,Total,Microsoft.IdentityModel.Clients.ActiveDirectory.IAdalLogCallback Microsoft.IdentityModel.Clients.ActiveDirectory.LoggerCallbackHandler::Callback(),Property type 'Microsoft.IdentityModel.Clients.ActiveDirectory.IAdalLogCallback' is obsolete.
,ReviewInconsistentIdentityRule,,,,
,ReviewLockUsedOnlyForOperationsOnVariablesRule,,,,
,UseCorrectSuffixRule,,,,
,UseFlagsAttributeRule,Medium,High,Microsoft.IdentityModel.Clients.ActiveDirectory.Native.AsymmetricPaddingMode,
,UseGenericEventHandlerRule,Medium,High,Microsoft.IdentityModel.Clients.ActiveDirectory.Internal.WebBrowserNavigateErrorEventHandler,
,UseObjectDisposedExceptionRule,Medium,High,System.Void Microsoft.IdentityModel.Clients.ActiveDirectory.Internal.WindowsFormsWebAuthenticationDialog::ShowBrowser(),
,UsePreferredTermsRule,,,,
,UseSingularNameInEnumsUnlessAreFlagsRule,Medium,Normal,GitHub.Shared.ViewModels.Validation.ValidationStatus,
,UseStringEmptyRule,,,,
,VariableNamesShouldNotMatchFieldNamesRule,,,,
,WriteStaticFieldFromInstanceMethodRule,Medium,High,System.Object GitHub.Shared.Converters.ValueConverterMarkupExtension`1::ProvideValue(System.IServiceProvider),"The static field 'converter', of type 'T'. is being set in an instance method."
