@category,@priority,@rank,@type,@output
MALICIOUS_CODE,2,18,EI_EXPOSE_REP2,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP2,true
MALICIOUS_CODE,3,20,MS_SHOULD_BE_FINAL,true
BAD_PRACTICE,2,16,CN_IDIOM_NO_SUPER_CALL,true
BAD_PRACTICE,3,19,NM_CONFUSING,true
STYLE,3,20,DLS_DEAD_LOCAL_STORE,true
STYLE,1,15,FE_FLOATING_POINT_EQUALITY,true
STYLE,1,15,FE_FLOATING_POINT_EQUALITY,true
STYLE,1,15,FE_FLOATING_POINT_EQUALITY,true
STYLE,2,17,FE_FLOATING_POINT_EQUALITY,true
STYLE,2,17,FE_FLOATING_POINT_EQUALITY,true
STYLE,2,17,FE_FLOATING_POINT_EQUALITY,true
MALICIOUS_CODE,1,16,MS_SHOULD_BE_FINAL,true
STYLE,3,20,CI_CONFUSED_INHERITANCE,true
STYLE,3,20,CI_CONFUSED_INHERITANCE,true
STYLE,3,20,CI_CONFUSED_INHERITANCE,true
STYLE,3,20,CI_CONFUSED_INHERITANCE,true
STYLE,3,20,CI_CONFUSED_INHERITANCE,true
STYLE,3,20,CI_CONFUSED_INHERITANCE,true
STYLE,3,20,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,true
STYLE,3,19,NP_LOAD_OF_KNOWN_NULL_VALUE,true
STYLE,3,20,RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,true
MALICIOUS_CODE,1,16,MS_MUTABLE_ARRAY,true
STYLE,2,17,IM_AVERAGE_COMPUTATION_COULD_OVERFLOW,true
STYLE,3,20,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,true
MT_CORRECTNESS,3,17,VO_VOLATILE_REFERENCE_TO_ARRAY,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
MT_CORRECTNESS,3,17,NO_NOTIFY_NOT_NOTIFYALL,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
STYLE,3,20,DLS_DEAD_LOCAL_STORE_OF_NULL,true
STYLE,3,20,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,true
STYLE,2,18,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,true
MT_CORRECTNESS,3,17,VO_VOLATILE_REFERENCE_TO_ARRAY,true
MT_CORRECTNESS,3,17,VO_VOLATILE_REFERENCE_TO_ARRAY,true
STYLE,2,17,EQ_DOESNT_OVERRIDE_EQUALS,true
STYLE,2,17,EQ_DOESNT_OVERRIDE_EQUALS,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
STYLE,3,20,BC_UNCONFIRMED_CAST,true
STYLE,3,14,DLS_DEAD_LOCAL_STORE_IN_RETURN,true
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,true
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,true
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,true
BAD_PRACTICE,3,19,DE_MIGHT_IGNORE,true
STYLE,3,20,REC_CATCH_EXCEPTION,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
STYLE,3,19,NP_LOAD_OF_KNOWN_NULL_VALUE,true
STYLE,3,19,UC_USELESS_CONDITION,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP2,true
BAD_PRACTICE,3,20,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,true
BAD_PRACTICE,2,16,CN_IDIOM_NO_SUPER_CALL,true
BAD_PRACTICE,3,19,HE_HASHCODE_NO_EQUALS,true
PERFORMANCE,3,20,SIC_INNER_SHOULD_BE_STATIC_ANON,true
STYLE,3,20,DLS_DEAD_LOCAL_STORE,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
BAD_PRACTICE,2,16,CN_IDIOM_NO_SUPER_CALL,true
BAD_PRACTICE,2,16,DE_MIGHT_IGNORE,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
MT_CORRECTNESS,2,17,IS2_INCONSISTENT_SYNC,true
